Instance,Algorithm,Gene,Sign,BN_size,List,Count,AvgSize,WeightedSum,WeightedSumHalf,WeightedSum2Based
Bladder,ActoNet,ATM_b1,1,35,"[2, 2]",2,2.0,0.05714285714285714,0.11428571428571428,1.0
Bladder,BoNesis[FP],ATM_b1,1,35,"[2, 2]",2,2.0,0.05714285714285714,0.11428571428571428,1.0
Bladder,BoNesis[MTS],ATM_b1,1,35,"[2, 2]",2,2.0,0.05714285714285714,0.11428571428571428,1.0
Bladder,Caspo,ATM_b1,1,35,"[2, 2]",2,2.0,0.05714285714285714,0.11428571428571428,1.0
Bladder,PBN[ASA],ATM_b1,1,35,"[2, 2]",2,2.0,0.05714285714285714,0.11428571428571428,1.0
Bladder,PBN[SA],ATM_b1,1,35,"[2, 2]",2,2.0,0.05714285714285714,0.11428571428571428,1.0
Bladder,PBN[percolation],ATM_b1,1,35,"[2, 2]",2,2.0,0.05714285714285714,0.11428571428571428,1.0
Bladder,SM[brute-force],ATM_b1,1,35,"[2, 2]",2,2.0,0.05714285714285714,0.11428571428571428,1.0
Bladder,optbn[FP],ATM_b1,1,35,"[2, 2]",2,2.0,0.05714285714285714,0.11428571428571428,1.0
Bladder,optbn[SA],ATM_b1,1,35,"[2, 2]",2,2.0,0.05714285714285714,0.11428571428571428,1.0
Bladder,ActoNet,Apoptosis_b1,1,35,[2],1,2.0,0.02857142857142857,0.05714285714285714,0.5
Bladder,BoNesis[FP],Apoptosis_b1,1,35,[2],1,2.0,0.02857142857142857,0.05714285714285714,0.5
Bladder,BoNesis[MTS],Apoptosis_b1,1,35,[2],1,2.0,0.02857142857142857,0.05714285714285714,0.5
Bladder,Caspo,Apoptosis_b1,1,35,[2],1,2.0,0.02857142857142857,0.05714285714285714,0.5
Bladder,PBN[ASA],Apoptosis_b1,1,35,[2],1,2.0,0.02857142857142857,0.05714285714285714,0.5
Bladder,PBN[SA],Apoptosis_b1,1,35,[2],1,2.0,0.02857142857142857,0.05714285714285714,0.5
Bladder,PBN[percolation],Apoptosis_b1,1,35,[2],1,2.0,0.02857142857142857,0.05714285714285714,0.5
Bladder,SM[brute-force],Apoptosis_b1,1,35,[2],1,2.0,0.02857142857142857,0.05714285714285714,0.5
Bladder,optbn[FP],Apoptosis_b1,1,35,[2],1,2.0,0.02857142857142857,0.05714285714285714,0.5
Bladder,optbn[SA],Apoptosis_b1,1,35,[2],1,2.0,0.02857142857142857,0.05714285714285714,0.5
Bladder,ActoNet,DNAdamage,1,35,"[2, 2]",2,2.0,0.05714285714285714,0.11428571428571428,1.0
Bladder,BoNesis[FP],DNAdamage,1,35,"[2, 2]",2,2.0,0.05714285714285714,0.11428571428571428,1.0
Bladder,BoNesis[MTS],DNAdamage,1,35,"[2, 2]",2,2.0,0.05714285714285714,0.11428571428571428,1.0
Bladder,CABEAN[PTC],DNAdamage,1,35,"[2, 2]",2,2.0,0.05714285714285714,0.11428571428571428,1.0
Bladder,CABEAN[TTC],DNAdamage,1,35,"[2, 2]",2,2.0,0.05714285714285714,0.11428571428571428,1.0
Bladder,Caspo,DNAdamage,1,35,"[2, 2]",2,2.0,0.05714285714285714,0.11428571428571428,1.0
Bladder,PBN[ASA],DNAdamage,1,35,"[2, 2]",2,2.0,0.05714285714285714,0.11428571428571428,1.0
Bladder,PBN[SA],DNAdamage,1,35,"[2, 2]",2,2.0,0.05714285714285714,0.11428571428571428,1.0
Bladder,PBN[percolation],DNAdamage,1,35,"[2, 2]",2,2.0,0.05714285714285714,0.11428571428571428,1.0
Bladder,PBN[trap_spaces],DNAdamage,1,35,"[2, 2]",2,2.0,0.05714285714285714,0.11428571428571428,1.0
Bladder,SM[brute-force],DNAdamage,1,35,"[2, 2]",2,2.0,0.05714285714285714,0.11428571428571428,1.0
Bladder,SM[internal],DNAdamage,1,35,"[2, 2]",2,2.0,0.05714285714285714,0.11428571428571428,1.0
Bladder,SM[minimal],DNAdamage,1,35,"[2, 2]",2,2.0,0.05714285714285714,0.11428571428571428,1.0
Bladder,optbn[FP],DNAdamage,1,35,"[2, 2]",2,2.0,0.05714285714285714,0.11428571428571428,1.0
Bladder,optbn[SA],DNAdamage,1,35,"[2, 2]",2,2.0,0.05714285714285714,0.11428571428571428,1.0
Bladder,ActoNet,FGFR3,0,35,[1],1,1.0,1.0,1.0,1.0
Bladder,BoNesis[FP],FGFR3,0,35,[1],1,1.0,1.0,1.0,1.0
Bladder,optbn[FP],FGFR3,0,35,[1],1,1.0,1.0,1.0,1.0
Bladder,ActoNet,RAS,0,35,[1],1,1.0,1.0,1.0,1.0
Bladder,BoNesis[FP],RAS,0,35,[1],1,1.0,1.0,1.0,1.0
Bladder,optbn[FP],RAS,0,35,[1],1,1.0,1.0,1.0,1.0
Bladder,ActoNet,RB1,1,35,"[2, 2, 2, 2]",4,2.0,0.11428571428571428,0.22857142857142856,2.0
Bladder,BoNesis[FP],RB1,1,35,"[2, 2, 2, 2]",4,2.0,0.11428571428571428,0.22857142857142856,2.0
Bladder,BoNesis[MTS],RB1,1,35,"[2, 2, 2, 2]",4,2.0,0.11428571428571428,0.22857142857142856,2.0
Bladder,CABEAN[PTC],RB1,1,35,[2],1,2.0,0.02857142857142857,0.05714285714285714,0.5
Bladder,CABEAN[TTC],RB1,1,35,[2],1,2.0,0.02857142857142857,0.05714285714285714,0.5
Bladder,Caspo,RB1,1,35,"[2, 2, 2, 2]",4,2.0,0.11428571428571428,0.22857142857142856,2.0
Bladder,PBN[ASA],RB1,1,35,"[2, 2, 2, 2]",4,2.0,0.11428571428571428,0.22857142857142856,2.0
Bladder,PBN[SA],RB1,1,35,"[2, 2, 2, 2]",4,2.0,0.11428571428571428,0.22857142857142856,2.0
Bladder,PBN[percolation],RB1,1,35,"[2, 2, 2, 2]",4,2.0,0.11428571428571428,0.22857142857142856,2.0
Bladder,PBN[trap_spaces],RB1,1,35,[2],1,2.0,0.02857142857142857,0.05714285714285714,0.5
Bladder,SM[brute-force],RB1,1,35,"[2, 2, 2, 2]",4,2.0,0.11428571428571428,0.22857142857142856,2.0
Bladder,SM[internal],RB1,1,35,[2],1,2.0,0.02857142857142857,0.05714285714285714,0.5
Bladder,SM[minimal],RB1,1,35,[2],1,2.0,0.02857142857142857,0.05714285714285714,0.5
Bladder,optbn[FP],RB1,1,35,"[2, 2, 2, 2]",4,2.0,0.11428571428571428,0.22857142857142856,2.0
Bladder,optbn[SA],RB1,1,35,"[2, 2, 2, 2]",4,2.0,0.11428571428571428,0.22857142857142856,2.0
Bladder,ActoNet,SPRY,0,35,[1],1,1.0,1.0,1.0,1.0
Bladder,BoNesis[FP],SPRY,0,35,[1],1,1.0,1.0,1.0,1.0
Bladder,optbn[FP],SPRY,0,35,[1],1,1.0,1.0,1.0,1.0
Bladder,ActoNet,TP53,1,35,[2],1,2.0,0.02857142857142857,0.05714285714285714,0.5
Bladder,BoNesis[FP],TP53,1,35,[2],1,2.0,0.02857142857142857,0.05714285714285714,0.5
Bladder,BoNesis[MTS],TP53,1,35,[2],1,2.0,0.02857142857142857,0.05714285714285714,0.5
Bladder,Caspo,TP53,1,35,[2],1,2.0,0.02857142857142857,0.05714285714285714,0.5
Bladder,PBN[ASA],TP53,1,35,[2],1,2.0,0.02857142857142857,0.05714285714285714,0.5
Bladder,PBN[SA],TP53,1,35,[2],1,2.0,0.02857142857142857,0.05714285714285714,0.5
Bladder,PBN[percolation],TP53,1,35,[2],1,2.0,0.02857142857142857,0.05714285714285714,0.5
Bladder,SM[brute-force],TP53,1,35,[2],1,2.0,0.02857142857142857,0.05714285714285714,0.5
Bladder,optbn[FP],TP53,1,35,[2],1,2.0,0.02857142857142857,0.05714285714285714,0.5
Bladder,optbn[SA],TP53,1,35,[2],1,2.0,0.02857142857142857,0.05714285714285714,0.5
Bladder,ActoNet,p16INK4a,0,35,"[2, 2]",2,2.0,0.05714285714285714,0.11428571428571428,1.0
Bladder,BoNesis[FP],p16INK4a,0,35,"[2, 2]",2,2.0,0.05714285714285714,0.11428571428571428,1.0
Bladder,BoNesis[MTS],p16INK4a,0,35,"[2, 2]",2,2.0,0.05714285714285714,0.11428571428571428,1.0
Bladder,CABEAN[PTC],p16INK4a,0,35,[2],1,2.0,0.02857142857142857,0.05714285714285714,0.5
Bladder,CABEAN[TTC],p16INK4a,0,35,[2],1,2.0,0.02857142857142857,0.05714285714285714,0.5
Bladder,Caspo,p16INK4a,0,35,"[2, 2]",2,2.0,0.05714285714285714,0.11428571428571428,1.0
