Instance,Algorithm,BN_size,ControlSize,Genes
Bladder,ActoNet,35,1.0,{'FGFR3': 0}
Bladder,ActoNet,35,1.0,{'RAS': 0}
Bladder,ActoNet,35,1.0,{'SPRY': 0}
Bladder,ActoNet,35,2.0,"{'ATM_b1': 1, 'RB1': 1}"
Bladder,ActoNet,35,2.0,"{'ATM_b1': 1, 'p16INK4a': 0}"
Bladder,ActoNet,35,2.0,"{'Apoptosis_b1': 1, 'RB1': 1}"
Bladder,ActoNet,35,2.0,"{'DNAdamage': 1, 'RB1': 1}"
Bladder,ActoNet,35,2.0,"{'DNAdamage': 1, 'p16INK4a': 0}"
Bladder,ActoNet,35,2.0,"{'RB1': 1, 'TP53': 1}"
Bladder,BoNesis[FP],35,1.0,{'FGFR3': 0}
Bladder,BoNesis[FP],35,1.0,{'RAS': 0}
Bladder,BoNesis[FP],35,1.0,{'SPRY': 0}
Bladder,BoNesis[FP],35,2.0,"{'ATM_b1': 1, 'RB1': 1}"
Bladder,BoNesis[FP],35,2.0,"{'ATM_b1': 1, 'p16INK4a': 0}"
Bladder,BoNesis[FP],35,2.0,"{'Apoptosis_b1': 1, 'RB1': 1}"
Bladder,BoNesis[FP],35,2.0,"{'DNAdamage': 1, 'RB1': 1}"
Bladder,BoNesis[FP],35,2.0,"{'DNAdamage': 1, 'p16INK4a': 0}"
Bladder,BoNesis[FP],35,2.0,"{'RB1': 1, 'TP53': 1}"
Bladder,BoNesis[MTS],35,2.0,"{'ATM_b1': 1, 'RB1': 1}"
Bladder,BoNesis[MTS],35,2.0,"{'ATM_b1': 1, 'p16INK4a': 0}"
Bladder,BoNesis[MTS],35,2.0,"{'Apoptosis_b1': 1, 'RB1': 1}"
Bladder,BoNesis[MTS],35,2.0,"{'DNAdamage': 1, 'RB1': 1}"
Bladder,BoNesis[MTS],35,2.0,"{'DNAdamage': 1, 'p16INK4a': 0}"
Bladder,BoNesis[MTS],35,2.0,"{'RB1': 1, 'TP53': 1}"
Bladder,CABEAN[ITC],35,inf,{}
Bladder,CABEAN[PTC],35,2.0,"{'DNAdamage': 1, 'RB1': 1}"
Bladder,CABEAN[PTC],35,2.0,"{'DNAdamage': 1, 'p16INK4a': 0}"
Bladder,CABEAN[TTC],35,2.0,"{'DNAdamage': 1, 'RB1': 1}"
Bladder,CABEAN[TTC],35,2.0,"{'DNAdamage': 1, 'p16INK4a': 0}"
Bladder,Caspo,35,2.0,"{'ATM_b1': 1, 'RB1': 1}"
Bladder,Caspo,35,2.0,"{'ATM_b1': 1, 'p16INK4a': 0}"
Bladder,Caspo,35,2.0,"{'Apoptosis_b1': 1, 'RB1': 1}"
Bladder,Caspo,35,2.0,"{'DNAdamage': 1, 'RB1': 1}"
Bladder,Caspo,35,2.0,"{'DNAdamage': 1, 'p16INK4a': 0}"
Bladder,Caspo,35,2.0,"{'RB1': 1, 'TP53': 1}"
Bladder,optbn[FP],35,1.0,{'FGFR3': 0}
Bladder,optbn[FP],35,1.0,{'RAS': 0}
Bladder,optbn[FP],35,1.0,{'SPRY': 0}
Bladder,optbn[FP],35,2.0,"{'ATM_b1': 1, 'RB1': 1}"
Bladder,optbn[FP],35,2.0,"{'ATM_b1': 1, 'p16INK4a': 0}"
Bladder,optbn[FP],35,2.0,"{'Apoptosis_b1': 1, 'RB1': 1}"
Bladder,optbn[FP],35,2.0,"{'DNAdamage': 1, 'RB1': 1}"
Bladder,optbn[FP],35,2.0,"{'DNAdamage': 1, 'p16INK4a': 0}"
Bladder,optbn[FP],35,2.0,"{'RB1': 1, 'TP53': 1}"
Bladder,optbn[SA],35,2.0,"{'ATM_b1': 1, 'RB1': 1}"
Bladder,optbn[SA],35,2.0,"{'ATM_b1': 1, 'p16INK4a': 0}"
Bladder,optbn[SA],35,2.0,"{'Apoptosis_b1': 1, 'RB1': 1}"
Bladder,optbn[SA],35,2.0,"{'DNAdamage': 1, 'RB1': 1}"
Bladder,optbn[SA],35,2.0,"{'DNAdamage': 1, 'p16INK4a': 0}"
Bladder,optbn[SA],35,2.0,"{'RB1': 1, 'TP53': 1}"
Bladder,PBN[ASA],35,2.0,"{'ATM_b1': 1, 'RB1': 1}"
Bladder,PBN[ASA],35,2.0,"{'ATM_b1': 1, 'p16INK4a': 0}"
Bladder,PBN[ASA],35,2.0,"{'Apoptosis_b1': 1, 'RB1': 1}"
Bladder,PBN[ASA],35,2.0,"{'DNAdamage': 1, 'RB1': 1}"
Bladder,PBN[ASA],35,2.0,"{'DNAdamage': 1, 'p16INK4a': 0}"
Bladder,PBN[ASA],35,2.0,"{'RB1': 1, 'TP53': 1}"
Bladder,PBN[percolation],35,2.0,"{'ATM_b1': 1, 'RB1': 1}"
Bladder,PBN[percolation],35,2.0,"{'ATM_b1': 1, 'p16INK4a': 0}"
Bladder,PBN[percolation],35,2.0,"{'Apoptosis_b1': 1, 'RB1': 1}"
Bladder,PBN[percolation],35,2.0,"{'DNAdamage': 1, 'RB1': 1}"
Bladder,PBN[percolation],35,2.0,"{'DNAdamage': 1, 'p16INK4a': 0}"
Bladder,PBN[percolation],35,2.0,"{'RB1': 1, 'TP53': 1}"
Bladder,PBN[SA],35,2.0,"{'ATM_b1': 1, 'RB1': 1}"
Bladder,PBN[SA],35,2.0,"{'ATM_b1': 1, 'p16INK4a': 0}"
Bladder,PBN[SA],35,2.0,"{'Apoptosis_b1': 1, 'RB1': 1}"
Bladder,PBN[SA],35,2.0,"{'DNAdamage': 1, 'RB1': 1}"
Bladder,PBN[SA],35,2.0,"{'DNAdamage': 1, 'p16INK4a': 0}"
Bladder,PBN[SA],35,2.0,"{'RB1': 1, 'TP53': 1}"
Bladder,PBN[trap_spaces],35,2.0,"{'DNAdamage': 1, 'RB1': 1}"
Bladder,PBN[trap_spaces],35,2.0,"{'DNAdamage': 1, 'p16INK4a': 0}"
Bladder,SM[internal],35,2.0,"{'DNAdamage': 1, 'RB1': 1}"
Bladder,SM[internal],35,2.0,"{'DNAdamage': 1, 'p16INK4a': 0}"
Bladder,SM[minimal],35,2.0,"{'DNAdamage': 1, 'RB1': 1}"
Bladder,SM[minimal],35,2.0,"{'DNAdamage': 1, 'p16INK4a': 0}"
Myeloid,ActoNet,11,2.0,"{'CEBPA': 1, 'EgrNab': 1}"
Myeloid,BoNesis[FP],11,2.0,"{'CEBPA': 1, 'EgrNab': 1}"
Myeloid,BoNesis[MTS],11,2.0,"{'CEBPA': 1, 'EgrNab': 1}"
Myeloid,CABEAN[ITC],11,inf,{}
Myeloid,CABEAN[PTC],11,inf,{}
Myeloid,CABEAN[TTC],11,inf,{}
Myeloid,Caspo,11,2.0,"{'CEBPA': 1, 'EgrNab': 1}"
Myeloid,optbn[FP],11,2.0,"{'CEBPA': 1, 'EgrNab': 1}"
Myeloid,optbn[SA],11,2.0,"{'CEBPA': 1, 'EgrNab': 1}"
Myeloid,PBN[ASA],11,2.0,"{'CEBPA': 1, 'EgrNab': 1}"
Myeloid,PBN[percolation],11,2.0,"{'CEBPA': 1, 'EgrNab': 1}"
Myeloid,PBN[SA],11,2.0,"{'CEBPA': 1, 'EgrNab': 1}"
Myeloid,PBN[trap_spaces],11,inf,{}
Myeloid,SM[internal],11,inf,{}
Myeloid,SM[minimal],11,inf,{}
T-LGL,ActoNet,60,1.0,{'Apoptosis': 1}
T-LGL,ActoNet,60,1.0,{'CD45': 1}
T-LGL,ActoNet,60,1.0,{'Caspase': 1}
T-LGL,ActoNet,60,1.0,{'DISC': 1}
T-LGL,ActoNet,60,1.0,{'Stimuli': 1}
T-LGL,ActoNet,60,2.0,"{'BID': 1, 'GRB2': 1}"
T-LGL,ActoNet,60,2.0,"{'BID': 1, 'GZMB': 1}"
T-LGL,ActoNet,60,2.0,"{'BID': 1, 'IFNG': 1}"
T-LGL,ActoNet,60,2.0,"{'BID': 1, 'IL2RB': 1}"
T-LGL,ActoNet,60,2.0,"{'BID': 1, 'JAK': 1}"
T-LGL,ActoNet,60,2.0,"{'BID': 1, 'LCK': 1}"
T-LGL,ActoNet,60,2.0,"{'BID': 1, 'NFKB': 1}"
T-LGL,ActoNet,60,2.0,"{'BID': 1, 'PDGF': 1}"
T-LGL,ActoNet,60,2.0,"{'BID': 1, 'PDGFR': 1}"
T-LGL,ActoNet,60,2.0,"{'BID': 1, 'PI3K': 1}"
T-LGL,ActoNet,60,2.0,"{'BID': 1, 'PLCG1': 1}"
T-LGL,ActoNet,60,2.0,"{'BID': 1, 'RANTES': 1}"
T-LGL,ActoNet,60,2.0,"{'BID': 1, 'RAS': 1}"
T-LGL,ActoNet,60,2.0,"{'BID': 1, 'S1P': 1}"
T-LGL,ActoNet,60,2.0,"{'BID': 1, 'SPHK1': 1}"
T-LGL,ActoNet,60,2.0,"{'BID': 1, 'STAT3': 1}"
T-LGL,ActoNet,60,2.0,"{'BID': 1, 'TAX': 1}"
T-LGL,ActoNet,60,2.0,"{'BID': 1, 'TBET': 1}"
T-LGL,ActoNet,60,2.0,"{'BID': 1, 'TNF': 1}"
T-LGL,ActoNet,60,2.0,"{'BID': 1, 'TPL2': 1}"
T-LGL,ActoNet,60,2.0,"{'BID': 1, 'TRADD': 1}"
T-LGL,ActoNet,60,2.0,"{'BID': 1, 'ZAP70': 1}"
T-LGL,ActoNet,60,2.0,"{'Ceramide': 1, 'FasT': 1}"
T-LGL,ActoNet,60,2.0,"{'Ceramide': 1, 'GRB2': 1}"
T-LGL,ActoNet,60,2.0,"{'Ceramide': 1, 'GZMB': 1}"
T-LGL,ActoNet,60,2.0,"{'Ceramide': 1, 'IFNG': 1}"
T-LGL,ActoNet,60,2.0,"{'Ceramide': 1, 'IL2RA': 1}"
T-LGL,ActoNet,60,2.0,"{'Ceramide': 1, 'IL2RB': 1}"
T-LGL,ActoNet,60,2.0,"{'Ceramide': 1, 'JAK': 1}"
T-LGL,ActoNet,60,2.0,"{'Ceramide': 1, 'LCK': 1}"
T-LGL,ActoNet,60,2.0,"{'Ceramide': 1, 'NFKB': 1}"
T-LGL,ActoNet,60,2.0,"{'Ceramide': 1, 'PDGF': 1}"
T-LGL,ActoNet,60,2.0,"{'Ceramide': 1, 'PDGFR': 1}"
T-LGL,ActoNet,60,2.0,"{'Ceramide': 1, 'PI3K': 1}"
T-LGL,ActoNet,60,2.0,"{'Ceramide': 1, 'PLCG1': 1}"
T-LGL,ActoNet,60,2.0,"{'Ceramide': 1, 'RANTES': 1}"
T-LGL,ActoNet,60,2.0,"{'Ceramide': 1, 'RAS': 1}"
T-LGL,ActoNet,60,2.0,"{'Ceramide': 1, 'S1P': 1}"
T-LGL,ActoNet,60,2.0,"{'Ceramide': 1, 'STAT3': 1}"
T-LGL,ActoNet,60,2.0,"{'Ceramide': 1, 'TAX': 1}"
T-LGL,ActoNet,60,2.0,"{'Ceramide': 1, 'TBET': 1}"
T-LGL,ActoNet,60,2.0,"{'Ceramide': 1, 'TPL2': 1}"
T-LGL,ActoNet,60,2.0,"{'Ceramide': 1, 'ZAP70': 1}"
T-LGL,ActoNet,60,2.0,"{'ERK': 0, 'GRB2': 1}"
T-LGL,ActoNet,60,2.0,"{'ERK': 0, 'GZMB': 1}"
T-LGL,ActoNet,60,2.0,"{'ERK': 0, 'IFNG': 1}"
T-LGL,ActoNet,60,2.0,"{'ERK': 0, 'JAK': 1}"
T-LGL,ActoNet,60,2.0,"{'ERK': 0, 'LCK': 1}"
T-LGL,ActoNet,60,2.0,"{'ERK': 0, 'NFKB': 1}"
T-LGL,ActoNet,60,2.0,"{'ERK': 0, 'PDGF': 1}"
T-LGL,ActoNet,60,2.0,"{'ERK': 0, 'PDGFR': 1}"
T-LGL,ActoNet,60,2.0,"{'ERK': 0, 'PI3K': 1}"
