Instance,Algorithm,Gene,Sign,BN_size,ControlSize,Partners,score
Bladder,ActoNet,FGFR3,0,35,1,(),-1.0
Bladder,ActoNet,RAS,0,35,1,(),-1.0
Bladder,ActoNet,SPRY,0,35,1,(),-1.0
Bladder,ActoNet,ATM_b1,1,35,2,"('RB1',)",0.029411764705882353
Bladder,ActoNet,RB1,1,35,2,"('ATM_b1',)",0.029411764705882353
Bladder,ActoNet,ATM_b1,1,35,2,"('p16INK4a',)",0.029411764705882353
Bladder,ActoNet,p16INK4a,0,35,2,"('ATM_b1',)",-0.029411764705882353
Bladder,ActoNet,Apoptosis_b1,1,35,2,"('RB1',)",0.029411764705882353
Bladder,ActoNet,RB1,1,35,2,"('Apoptosis_b1',)",0.029411764705882353
Bladder,ActoNet,DNAdamage,1,35,2,"('RB1',)",0.029411764705882353
Bladder,ActoNet,RB1,1,35,2,"('DNAdamage',)",0.029411764705882353
Bladder,ActoNet,DNAdamage,1,35,2,"('p16INK4a',)",0.029411764705882353
Bladder,ActoNet,p16INK4a,0,35,2,"('DNAdamage',)",-0.029411764705882353
Bladder,ActoNet,RB1,1,35,2,"('TP53',)",0.029411764705882353
Bladder,ActoNet,TP53,1,35,2,"('RB1',)",0.029411764705882353
Bladder,ActoNet,AKT,0,35,-1,(),0.0
Bladder,ActoNet,AKT,1,35,-1,(),0.0
Bladder,ActoNet,ATM_b1,0,35,-1,(),0.0
Bladder,ActoNet,ATM_b2,0,35,-1,(),0.0
Bladder,ActoNet,ATM_b2,1,35,-1,(),0.0
Bladder,ActoNet,Apoptosis_b1,0,35,-1,(),0.0
Bladder,ActoNet,Apoptosis_b2,0,35,-1,(),0.0
Bladder,ActoNet,Apoptosis_b2,1,35,-1,(),0.0
Bladder,ActoNet,CDC25A,0,35,-1,(),0.0
Bladder,ActoNet,CDC25A,1,35,-1,(),0.0
Bladder,ActoNet,CHEK1_2_b1,0,35,-1,(),0.0
Bladder,ActoNet,CHEK1_2_b1,1,35,-1,(),0.0
Bladder,ActoNet,CHEK1_2_b2,0,35,-1,(),0.0
Bladder,ActoNet,CHEK1_2_b2,1,35,-1,(),0.0
Bladder,ActoNet,CyclinA,0,35,-1,(),0.0
Bladder,ActoNet,CyclinA,1,35,-1,(),0.0
