Instance,Algorithm,Gene,Sign,BN_size,score
A1_Bladder,ActoNet,AKT,0,35,0.045454545454545456
A1_Bladder,ActoNet,AKT,1,35,0.045454545454545456
A1_Bladder,ActoNet,ATM_b1,0,35,0.04500891265597148
A1_Bladder,ActoNet,ATM_b1,1,35,0.07352941176470588
A1_Bladder,ActoNet,ATM_b2,0,35,0.045454545454545456
A1_Bladder,ActoNet,ATM_b2,1,35,0.045454545454545456
A1_Bladder,ActoNet,Apoptosis_b1,0,35,0.04523172905525847
A1_Bladder,ActoNet,Apoptosis_b1,1,35,0.05926916221033868
A1_Bladder,ActoNet,Apoptosis_b2,0,35,0.045454545454545456
A1_Bladder,ActoNet,Apoptosis_b2,1,35,0.045454545454545456
A1_Bladder,ActoNet,CDC25A,0,35,0.045454545454545456
A1_Bladder,ActoNet,CDC25A,1,35,0.045454545454545456
A1_Bladder,ActoNet,CHEK1_2_b1,0,35,0.045454545454545456
A1_Bladder,ActoNet,CHEK1_2_b1,1,35,0.045454545454545456
A1_Bladder,ActoNet,CHEK1_2_b2,0,35,0.045454545454545456
A1_Bladder,ActoNet,CHEK1_2_b2,1,35,0.045454545454545456
A1_Bladder,ActoNet,CyclinA,0,35,0.045454545454545456
A1_Bladder,ActoNet,CyclinA,1,35,0.045454545454545456
A1_Bladder,ActoNet,CyclinD1,0,35,0.045454545454545456
A1_Bladder,ActoNet,CyclinD1,1,35,0.045454545454545456
A1_Bladder,ActoNet,CyclinE1,0,35,0.045454545454545456
A1_Bladder,ActoNet,CyclinE1,1,35,0.045454545454545456
A1_Bladder,ActoNet,DNAdamage,0,35,0.04500891265597148
A1_Bladder,ActoNet,DNAdamage,1,35,0.07352941176470588
A1_Bladder,ActoNet,E2F1_b1,0,35,0.045454545454545456
A1_Bladder,ActoNet,E2F1_b1,1,35,0.045454545454545456
A1_Bladder,ActoNet,E2F1_b2,0,35,0.045454545454545456
A1_Bladder,ActoNet,E2F1_b2,1,35,0.045454545454545456
A1_Bladder,ActoNet,E2F3_b1,0,35,0.045454545454545456
A1_Bladder,ActoNet,E2F3_b1,1,35,0.045454545454545456
A1_Bladder,ActoNet,E2F3_b2,0,35,0.045454545454545456
A1_Bladder,ActoNet,E2F3_b2,1,35,0.045454545454545456
A1_Bladder,ActoNet,EGFR,0,35,0.045454545454545456
A1_Bladder,ActoNet,EGFR,1,35,0.045454545454545456
A1_Bladder,ActoNet,EGFR_stimulus,0,35,0.045454545454545456
A1_Bladder,ActoNet,EGFR_stimulus,1,35,0.045454545454545456
A1_Bladder,ActoNet,FGFR3,0,35,1.0
A1_Bladder,ActoNet,FGFR3,1,35,0.030748663101604276
A1_Bladder,ActoNet,FGFR3_stimulus,0,35,0.045454545454545456
A1_Bladder,ActoNet,FGFR3_stimulus,1,35,0.045454545454545456
A1_Bladder,ActoNet,GRB2,0,35,0.045454545454545456
A1_Bladder,ActoNet,GRB2,1,35,0.045454545454545456
A1_Bladder,ActoNet,GrowthInhibitors,0,35,0.045454545454545456
A1_Bladder,ActoNet,GrowthInhibitors,1,35,0.045454545454545456
A1_Bladder,ActoNet,Growth_Arrest,0,35,0.045454545454545456
A1_Bladder,ActoNet,Growth_Arrest,1,35,0.045454545454545456
A1_Bladder,ActoNet,MDM2,0,35,0.045454545454545456
A1_Bladder,ActoNet,MDM2,1,35,0.045454545454545456
A1_Bladder,ActoNet,PI3K,0,35,0.045454545454545456
A1_Bladder,ActoNet,PI3K,1,35,0.045454545454545456
A1_Bladder,ActoNet,PTEN,0,35,0.045454545454545456
A1_Bladder,ActoNet,PTEN,1,35,0.045454545454545456
A1_Bladder,ActoNet,Proliferation,0,35,0.045454545454545456
A1_Bladder,ActoNet,Proliferation,1,35,0.045454545454545456
A1_Bladder,ActoNet,RAS,0,35,1.0
A1_Bladder,ActoNet,RAS,1,35,0.030748663101604276
A1_Bladder,ActoNet,RB1,0,35,0.044563279857397504
A1_Bladder,ActoNet,RB1,1,35,0.10294117647058823
A1_Bladder,ActoNet,RBL2,0,35,0.045454545454545456
A1_Bladder,ActoNet,RBL2,1,35,0.045454545454545456
A1_Bladder,ActoNet,SPRY,0,35,1.0
A1_Bladder,ActoNet,SPRY,1,35,0.030748663101604276
A1_Bladder,ActoNet,TP53,0,35,0.04523172905525847
A1_Bladder,ActoNet,TP53,1,35,0.05926916221033868
A1_Bladder,ActoNet,p14ARF,0,35,0.045454545454545456
A1_Bladder,ActoNet,p14ARF,1,35,0.045454545454545456
A1_Bladder,ActoNet,p16INK4a,0,35,0.07397504456327986
A1_Bladder,ActoNet,p16INK4a,1,35,0.04500891265597148
A1_Bladder,ActoNet,p21CIP,0,35,0.045454545454545456
A1_Bladder,ActoNet,p21CIP,1,35,0.045454545454545456
A1_Bladder,BoNesis[FP],AKT,0,35,0.045454545454545456
A1_Bladder,BoNesis[FP],AKT,1,35,0.045454545454545456
A1_Bladder,BoNesis[FP],ATM_b1,0,35,0.04500891265597148
A1_Bladder,BoNesis[FP],ATM_b1,1,35,0.07352941176470588
A1_Bladder,BoNesis[FP],ATM_b2,0,35,0.045454545454545456
A1_Bladder,BoNesis[FP],ATM_b2,1,35,0.045454545454545456
A1_Bladder,BoNesis[FP],Apoptosis_b1,0,35,0.04523172905525847
A1_Bladder,BoNesis[FP],Apoptosis_b1,1,35,0.05926916221033868
A1_Bladder,BoNesis[FP],Apoptosis_b2,0,35,0.045454545454545456
A1_Bladder,BoNesis[FP],Apoptosis_b2,1,35,0.045454545454545456
A1_Bladder,BoNesis[FP],CDC25A,0,35,0.045454545454545456
A1_Bladder,BoNesis[FP],CDC25A,1,35,0.045454545454545456
A1_Bladder,BoNesis[FP],CHEK1_2_b1,0,35,0.045454545454545456
A1_Bladder,BoNesis[FP],CHEK1_2_b1,1,35,0.045454545454545456
A1_Bladder,BoNesis[FP],CHEK1_2_b2,0,35,0.045454545454545456
A1_Bladder,BoNesis[FP],CHEK1_2_b2,1,35,0.045454545454545456
A1_Bladder,BoNesis[FP],CyclinA,0,35,0.045454545454545456
A1_Bladder,BoNesis[FP],CyclinA,1,35,0.045454545454545456
A1_Bladder,BoNesis[FP],CyclinD1,0,35,0.045454545454545456
